id,name,lei_code,region
1,Goldman Sachs International,W22LROWP2IHZNBB6K528,EMEA
2,JP Morgan Chase Bank,8I5DZWZKVSZI1NUHU748,NAMR
3,Morgan Stanley & Co,4PQUHN3JPFGFNF3BB653,NAMR
4,Barclays Capital,G5GSEF7VJP5I7OUK5573,EMEA
5,Credit Suisse AG,549300E9PC51EN656011,EMEA
6,UBS AG Zurich,BFM8T61CT2L1QCEMIK50,EMEA
7,Nomura Securities,549300187WJUQTQOTQ24,APAC
8,Mizuho Securities,M6AD1Y1KW32H8THQ6F76,APAC
9,Standard Chartered Bank,RILFO74KP1CM8P6PCM14,APAC
10,Banco Santander S.A.,5493006QMFDDMYWIAM13,LATAM
