GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reconx,com.dbtraining.reconx.config,CacheConfig,40,0,0,0,16,0,2,0,2,0
reconx,com.dbtraining.reconx.config,OpenApiConfig,78,0,0,0,23,0,4,0,4,0
reconx,com.dbtraining.reconx.controller,TradeController,50,51,1,1,8,10,5,3,4,3
reconx,com.dbtraining.reconx.controller,ReconController,57,0,0,0,10,0,6,0,6,0
reconx,com.dbtraining.reconx.controller,DeprecatedTradeController,0,19,0,0,0,5,0,2,0,2
reconx,com.dbtraining.reconx.controller,AuthController,63,0,4,0,12,0,5,0,3,0
reconx,com.dbtraining.reconx.controller,AuditController,13,0,0,0,3,0,3,0,3,0
reconx,com.dbtraining.reconx.jmx,ReconConfig,27,0,0,0,11,0,6,0,6,0
reconx,com.dbtraining.reconx.repository,TradeSpecifications,72,0,14,0,11,0,13,0,6,0
reconx,com.dbtraining.reconx.security,SecurityConfig,0,229,0,0,0,21,0,9,0,9
reconx,com.dbtraining.reconx.security,JwtTokenProvider,63,0,0,0,22,0,4,0,4,0
reconx,com.dbtraining.reconx.security,JwtAuthenticationFilter,0,65,1,3,0,16,1,3,0,2
reconx,com.dbtraining.reconx,ReconxApplication,5,3,0,0,2,1,1,1,1,1
reconx,com.dbtraining.reconx.model,TradeType,9,7,0,0,1,3,2,1,2,1
reconx,com.dbtraining.reconx.model,TradeType.AssetClass,0,27,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.model,Money,69,20,3,1,8,5,6,1,4,1
reconx,com.dbtraining.reconx.model,BondTrade.Builder,105,0,2,0,21,0,12,0,11,0
reconx,com.dbtraining.reconx.model,DerivativeTrade,161,0,4,0,30,0,19,0,17,0
reconx,com.dbtraining.reconx.model,FXTrade,139,0,4,0,26,0,17,0,15,0
reconx,com.dbtraining.reconx.model,Side,0,15,0,0,0,1,0,1,0,1
reconx,com.dbtraining.reconx.model,ReconciliationRule,8,114,1,9,3,17,3,7,2,3
reconx,com.dbtraining.reconx.model,DerivativeTrade.OptionType,15,0,0,0,1,0,1,0,1,0
reconx,com.dbtraining.reconx.model,EquityTrade,42,90,1,3,4,21,4,13,3,12
reconx,com.dbtraining.reconx.model,DerivativeTrade.Builder,133,0,6,0,25,0,15,0,12,0
reconx,com.dbtraining.reconx.model,EquityTrade.Builder,10,96,2,2,0,20,2,11,0,11
reconx,com.dbtraining.reconx.model,BondTrade,141,0,4,0,27,0,18,0,16,0
reconx,com.dbtraining.reconx.model,FXTrade.Builder,105,0,4,0,19,0,12,0,10,0
reconx,com.dbtraining.reconx.model,TradeRef,15,24,1,1,3,6,2,3,1,3
reconx,com.dbtraining.reconx.model,TradeFactory,251,0,4,0,49,0,8,0,5,0
reconx,com.dbtraining.reconx.repository.entity,Counterparty,30,0,0,0,9,0,9,0,9,0
reconx,com.dbtraining.reconx.repository.entity,AppUser,25,0,0,0,9,0,7,0,7,0
reconx,com.dbtraining.reconx.repository.entity,ReconBreak,45,0,0,0,15,0,11,0,11,0
reconx,com.dbtraining.reconx.repository.entity,AuditLogEntry,51,0,0,0,18,0,10,0,10,0
reconx,com.dbtraining.reconx.repository.entity,Instrument,21,0,0,0,7,0,7,0,7,0
reconx,com.dbtraining.reconx.repository.entity,Trade,76,9,0,0,22,3,22,2,22,2
reconx,com.dbtraining.reconx.exception,DuplicateTradeRefException,11,0,0,0,4,0,2,0,2,0
reconx,com.dbtraining.reconx.exception,InvalidCredentialsException,4,0,0,0,2,0,1,0,1,0
reconx,com.dbtraining.reconx.exception,GlobalExceptionHandler,114,7,0,0,31,2,9,2,9,2
reconx,com.dbtraining.reconx.exception,TradeNotFoundException,11,0,0,0,4,0,2,0,2,0
reconx,com.dbtraining.reconx.exception,InvalidTradeException,9,0,0,0,2,0,2,0,2,0
